,National Institutes of Health/NIH,National Natural Science Foundation of China/NSFC,National Science Foundation/NSF,National Institute of Allergy & Infectious Diseases/NIAID,Ministry of Health,Wellcome Trust,Deutsche Forschungsgemeinschaft,Ministry of Education,National Science Council,Public Health Service,Others
2020,48,84,19,6,5,12,4,3,0,0,1690
2019,79,81,8,18,4,14,7,11,0,4,2635
2018,85,69,8,19,8,12,12,8,1,2,2158
2017,80,62,13,13,7,14,5,9,0,1,2027
2016,98,59,15,13,13,7,6,7,2,0,1929
2015,105,61,13,19,13,13,7,5,2,4,1954
2014,91,34,7,12,13,9,8,11,11,6,1545
2013,92,21,8,21,12,5,6,8,9,5,1341
2012,90,24,10,8,10,5,2,6,11,2,1309
2011,111,16,15,15,8,6,4,4,8,6,1233
2010,78,25,7,9,5,6,1,7,5,4,1011
2009,72,15,8,12,11,4,3,1,7,3,975
2008,77,23,10,7,7,4,6,3,13,3,905
2007,52,16,8,8,11,8,9,6,9,4,792
2006,62,10,7,4,13,4,11,5,6,8,784
2005,39,10,9,4,11,6,2,6,12,1,672
2004,20,3,2,3,9,3,4,3,7,2,523
2003,12,2,1,4,0,3,0,2,0,4,257
2002,9,0,0,0,0,0,1,0,0,1,84
2001,8,0,0,1,0,0,1,0,0,4,66
2000,6,0,0,1,0,2,2,1,0,2,73
1999,8,0,2,0,0,1,0,1,0,1,63
1998,5,0,1,0,0,2,1,0,0,1,65
1997,7,0,0,0,0,1,1,1,0,0,54
1996,3,0,0,0,0,0,4,1,1,1,80
1995,5,0,0,2,0,0,1,1,0,3,81
1994,7,0,0,1,0,0,1,2,0,0,97
1993,8,0,0,2,0,1,0,3,0,2,64
1992,11,0,1,1,0,0,0,0,0,3,81
1991,8,0,3,0,0,0,1,2,0,1,61
1990,6,0,2,1,0,2,3,0,0,0,74
1989,9,0,1,1,0,0,2,0,0,1,61
1988,7,0,0,0,0,1,2,0,0,1,50
1987,4,0,1,2,0,0,0,0,0,2,39
1986,4,0,1,1,0,0,1,1,0,1,40
1985,4,0,1,0,0,0,0,0,0,2,19
1984,1,0,1,1,0,0,1,0,0,0,17
1983,2,0,1,0,0,0,0,0,0,0,8
1982,1,0,0,0,0,0,0,0,0,0,12
1981,0,0,0,0,0,0,0,0,0,0,17
1980,0,0,0,0,0,0,0,0,0,0,1
1979,0,0,0,0,0,0,0,0,0,0,14
1978,0,0,0,0,0,1,0,0,0,0,6
1977,0,0,0,0,0,0,0,0,0,0,4
1975,0,0,0,0,0,0,0,0,0,0,3
1974,0,0,0,0,0,0,0,0,0,0,1
1973,0,0,0,0,0,0,0,0,0,0,2
1972,0,0,0,0,0,0,0,0,0,0,1
1971,0,0,0,0,0,0,0,0,0,0,1
1970,0,0,0,0,0,0,0,0,0,0,1
1969,0,0,0,0,0,0,0,0,0,0,3
1965,0,0,0,0,0,0,0,0,0,0,2
others,0,0,0,0,0,0,0,1,0,0,22
Sum,1414,615,183,209,160,146,119,119,104,85,25007
