ID,PaperID,EntityName,EntityType
1,0015023cc06b5362d332b3baf348d11567ca2fbb,BBSRC,ORG
2,00340eea543336d54adda18236424de6a5e91c9d,Stephany W. Holloway University Chair in AIDS Research,ORG
3,00340eea543336d54adda18236424de6a5e91c9d,GISAID,ORG
4,004f0f8bb66cf446678dc13cf2701feec4f36d76,NULL,NULL
5,00911cf4f99a3d5ae5e5b787675646a743574496,Electrical Engineering Department of City University,ORG
6,00d16927588fb04d4be0e6b269fc02f0d3c2aa7b,NULL,NULL
7,00eb9220dc8cd351393b6b035323d350f103f8c6,NULL,NULL
8,0139ea4ca580af99b602c6435368e7fdbefacb03,DST,ORG
9,0139ea4ca580af99b602c6435368e7fdbefacb03,CSIR,ORG
10,013d9d1cba8a54d5d3718c229b812d7cf91b6c89,NULL,NULL
11,018fb5e62fbbcae07d57d94d29ac630dcc4dccf9,NULL,NULL
12,01d162d7fae6aaba8e6e60e563ef4c2fca7b0e18,NULL,NULL
13,01e3b313e78a352593be2ff64927192af66619b5,Kerry Samerotte,PERSON
14,01e3b313e78a352593be2ff64927192af66619b5,Pleuni Pennings,ORG
15,02201e4601ab0eb70b6c26480cf2bfeae2625193,Shweta Bansal,PERSON
16,02201e4601ab0eb70b6c26480cf2bfeae2625193,Belgian Scientific Institute of Public Health,ORG
17,0255ea4b2f26a51a3bfa3bd8f3e1978c82c976d5,NULL,NULL
18,029c1c588047f1d612a219ee15494d2d19ff7439,National Institute of General Medical Sciences,ORG
19,0313c3faa16cd66d64f31ae37e40fb70695d69fb,NULL,NULL
20,033ea7af3e6137df652de026f0751ac435327b75,NULL,NULL
21,03813d8657ba43ea382788caec2d14257b26d8fd,NULL,NULL
22,03ce432f27c7df6af22b92245a614db2ecb5de5f,BRC Cell Phenotyping Hub,ORG
23,03ce432f27c7df6af22b92245a614db2ecb5de5f,Susanne Bell,PERSON
24,03ce432f27c7df6af22b92245a614db2ecb5de5f,Myra Hosmillo,PERSON
25,03ea3a614b56409d3f099c9ad764864293132540,Hataichanok Scherman,PERSON
26,03ea3a614b56409d3f099c9ad764864293132540,Amanda,PERSON
27,03ea3a614b56409d3f099c9ad764864293132540,SunTag,ORG
28,03ea3a614b56409d3f099c9ad764864293132540,MCP-Halo,ORG
29,03ea3a614b56409d3f099c9ad764864293132540,Stasevich,PERSON
30,03ea3a614b56409d3f099c9ad764864293132540,Munsky LABs,ORG
31,03ea3a614b56409d3f099c9ad764864293132540,W.M. Keck Foundation,ORG
32,03ea9ad47ebe9a599205b99390c45490e6724024,Government Office,ORG
33,03ea9ad47ebe9a599205b99390c45490e6724024,Prof,PERSON
34,04030bba3035a58c7725ae267973206f6eb6c0b4,NULL,NULL
35,041bae0a6de2b69979d39460b3f2ee8946534ec2,NULL,NULL
36,05082393ba4c7ec530190dd887d99c74fd72f6d6,Rui Fernandes,PERSON
37,05082393ba4c7ec530190dd887d99c74fd72f6d6,Histology,ORG
38,052bf4fb7deaf593862991af3b118b5f11a9fbe1,NULL,NULL
39,0537863d6c059cc9cf5ec8dd0beb27dec5d9d801,NULL,NULL
40,05d47dd5b46f86428de058db4ecc8bca76a9ad16,Lei S. Qi LAB,ORG
41,05d47dd5b46f86428de058db4ecc8bca76a9ad16,David Lewis LAB,ORG
42,05d47dd5b46f86428de058db4ecc8bca76a9ad16,GISAID,ORG
43,05d99c07db59b6948e39bfa62c2cbbf62944059a,NULL,NULL
44,05e37847597676ae715adcec18a6574e75a20546,NULL,NULL
45,061ffcdd4d674c4d7ce24e4aa7c5037c68596864,NULL,NULL
46,0624a12abfe85c8b5070850d912a2db4cd453236,France Génomique National,ORG
47,0624a12abfe85c8b5070850d912a2db4cd453236,Agence Nationale,ORG
48,06837008df793f872a6fb830dfb83c9525edb7c4,NULL,NULL
49,06a1002f9fbea7179ac3572843f66b14568af6e4,Prof,PERSON
50,06acb8da0009104a2af509334abe3c26b1da66a1,Yale Institute for Global Health,ORG
51,06acb8da0009104a2af509334abe3c26b1da66a1,Yale School of Public Health,ORG
52,06acb8da0009104a2af509334abe3c26b1da66a1,NIH/NIAID,ORG
53,06acb8da0009104a2af509334abe3c26b1da66a1,Medical Research Council,ORG
54,06acb8da0009104a2af509334abe3c26b1da66a1,a UKRI Future Leaders Fellowship,ORG
55,06acb8da0009104a2af509334abe3c26b1da66a1,Canadian Institutes of Health Research,ORG
56,06acb8da0009104a2af509334abe3c26b1da66a1,S. Cordey,PERSON
57,06acb8da0009104a2af509334abe3c26b1da66a1,L. Kaiser,PERSON
58,06acb8da0009104a2af509334abe3c26b1da66a1,GISAID,ORG
59,06acb8da0009104a2af509334abe3c26b1da66a1,J. Criscuolo,PERSON
60,06c1b3535b83251cf92c01258b5048beeab7a460,NULL,NULL
61,06d12dc5ac32d82387c65370d0a600e13059122d,NULL,NULL
62,073d74442e2655d79b0b3f764a627ec667ad422c,Will Probert,PERSON
63,073d74442e2655d79b0b3f764a627ec667ad422c,Yuan Yang,PERSON
64,07e833d0917cace550853f72923856d0fe1a7120,NULL,NULL
65,08660499ee722a74043f8417faee3e1eeb9d0f5f,R. Robles-Sikisaka,PERSON
66,08660499ee722a74043f8417faee3e1eeb9d0f5f,P. Jack,PERSON
67,08660499ee722a74043f8417faee3e1eeb9d0f5f,ECDC,ORG
68,08826d0596a01a2a482eb6d80edb0e87cddc304e,NULL,NULL
69,08911cdc65e71e6398ca79b46806e6c8b2b730ae,NULL,NULL
70,08a22278486e12768ce186677a6a89663d24586f,Shan Gao,PERSON
71,090b6c8b3df30bc248221869f673a2d970caa1b9,NULL,NULL
72,091a8e9a61e19e88caeb039f0e3888d111b20439,Shaoli Wang,PERSON
73,091a8e9a61e19e88caeb039f0e3888d111b20439,Aimin Chen,PERSON
74,091a8e9a61e19e88caeb039f0e3888d111b20439,WeChat,ORG
75,09892e597bdc1ded9eb5922b4f3d41e041d6634a,Conceptualization,ORG
76,09892e597bdc1ded9eb5922b4f3d41e041d6634a,K.M. A.R.,PERSON
