ID,PaperID,EntityName,EntityType
1,000b7d1517ceebb34e1e3e817695b6de03e2fa78,NULL,NULL
2,00142f93c18b07350be89e96372d240372437ed9,CARIPLO,ORG
3,00142f93c18b07350be89e96372d240372437ed9,INGM,ORG
4,0022796bb2112abd2e6423ba2d57751db06049fb,Ministry of Health,ORG
5,0022796bb2112abd2e6423ba2d57751db06049fb,Alexandra Raulli,PERSON
6,0022796bb2112abd2e6423ba2d57751db06049fb,Susan Butler,PERSON
7,0022796bb2112abd2e6423ba2d57751db06049fb,Adrian Sleigh,PERSON
8,0022796bb2112abd2e6423ba2d57751db06049fb,World Health Organization,ORG
9,0031e47b76374e05a18c266bd1a1140e5eacb54f,Albert Tai,PERSON
10,0031e47b76374e05a18c266bd1a1140e5eacb54f,Tufts Genomics,ORG
11,0031e47b76374e05a18c266bd1a1140e5eacb54f,Cassandra Uricchio,PERSON
12,0031e47b76374e05a18c266bd1a1140e5eacb54f,Tess,PERSON
13,00326efcca0852dc6e39dc6b7786267e1bc4f194,NULL,NULL
14,00352a58c8766861effed18a4b079d1683fec2ec,National Science Foundation,ORG
15,00352a58c8766861effed18a4b079d1683fec2ec,National Institutes of Health,ORG
16,00352a58c8766861effed18a4b079d1683fec2ec,Eric Luth,PERSON
17,00352a58c8766861effed18a4b079d1683fec2ec,Lidia Park,PERSON
18,0043d044273b8eb1585d3a66061e9b4e03edc062,NULL,NULL
19,0049ba8861864506e1e8559e7815f4de8b03dbed,L. Naldini,PERSON
20,005891341c5478c028356dac60945667e6ad77ea,NULL,NULL
21,00623bf2715e25d3acacb3f210d6888ed840e3cb,National Science Grant of China,ORG
22,00623bf2715e25d3acacb3f210d6888ed840e3cb,Priority Academic Program Development of Jiangsu Higher Education Institutions,ORG
23,0072159e1ebecc889e9bcabb58bb45c47e18a403,K. Khalili,PERSON
24,0072159e1ebecc889e9bcabb58bb45c47e18a403,S. Becker,PERSON
25,0072159e1ebecc889e9bcabb58bb45c47e18a403,Harty,PERSON
26,0072159e1ebecc889e9bcabb58bb45c47e18a403,Freedman LABs,ORG
27,0072159e1ebecc889e9bcabb58bb45c47e18a403,G. Ruthel,PERSON
28,0072159e1ebecc889e9bcabb58bb45c47e18a403,B.D. Freedman,PERSON
29,0072159e1ebecc889e9bcabb58bb45c47e18a403,T.R. Luo,PERSON
30,007618ad76a3548195ab5d11c1e2459931c91cd1,ORYX Alpha,ORG
31,007618ad76a3548195ab5d11c1e2459931c91cd1,Tomsk State University Competitiveness Improvement Program,ORG
32,007618ad76a3548195ab5d11c1e2459931c91cd1,Harald zur Hausen,PERSON
33,007bf75961da42a7e0cc8e2855e5c208a5ec65c1,P. Reeves,PERSON
34,007bf75961da42a7e0cc8e2855e5c208a5ec65c1,M. Farzan,PERSON
35,007bf75961da42a7e0cc8e2855e5c208a5ec65c1,P. Rottier,PERSON
