ID,PaperID,EntityName,EntityType
1,4691889070a5f887338348a310cec5618d1dfbfe,T. Gallagher,PERSON
2,4691889070a5f887338348a310cec5618d1dfbfe,K. Holmes,PERSON
3,4691c2e3a8705236b9eb901abfbca15fc89773da,Secretaria de Salud del Distrito Federal,ORG
4,4696880723e13d0ad3c2e93ee1458567e2f97ae2,National Natural Science Foundation of China,ORG
5,4696f5b67a3c721e099958094a85220c09095b69,Theresa Robinson,PERSON
6,4696f5b67a3c721e099958094a85220c09095b69,Louise Kennedy,PERSON
7,46988b889df2055b3f44ae61f6d34be9c8c6483c,Walter Verheyen,PERSON
8,469d2702c9ac28d511d9f921432ef44e83a07723,Eurogrippe,ORG
9,469d2702c9ac28d511d9f921432ef44e83a07723,European Commission,ORG
10,469d2702c9ac28d511d9f921432ef44e83a07723,European Centre for Disease Prevention & Control,ORG
11,469d2702c9ac28d511d9f921432ef44e83a07723,ECDC,ORG
12,469d2702c9ac28d511d9f921432ef44e83a07723,MRC,ORG
13,469d2702c9ac28d511d9f921432ef44e83a07723,RCUK,ORG
14,469f1d7510002e42f9b856e4e39676b4ce23a894,Vincent Deubel,PERSON
15,469f1d7510002e42f9b856e4e39676b4ce23a894,Sheri Skinner,PERSON
16,469f1d7510002e42f9b856e4e39676b4ce23a894,National Natural Science Foundation of China,ORG
17,469f1d7510002e42f9b856e4e39676b4ce23a894,E-institutes of Shanghai Universityes Immunology Division,ORG
18,469f56e7c8db4736c730dd334c9b46319833fc69,NULL,NULL
19,46a1a6eae8afffefa1d7bd6188ea3b098819201a,NULL,NULL
20,46a3eeed89784f6483324d22cf56490117a2a4b4,NULL,NULL
21,46a47d4d36302bbc26772c4cb9f3bf31789ce073,NULL,NULL
22,46a724ae1d703a71a68ae6d0afafff0f1ea3d522,NULL,NULL
23,46a73e0aadc168e44b6b760578b90df63fa4e930,Joël Chadoeuf,PERSON
24,46a8f4f78789fa56b815ae74f9c35f46edc9383e,NULL,NULL
25,46ac7f61427a9a0d11a26dcb8ccbbe0ceb7d1a5e,Roy Jefferis,PERSON
26,46ac7f61427a9a0d11a26dcb8ccbbe0ceb7d1a5e,Steve Foung,PERSON
