ID,PaperID,EntityName,EntityType
1,PMC1065028,NULL,NULL
2,PMC1065120,Department of Health,ORG
3,PMC1065257,NULL,NULL
4,PMC1072806,NULL,NULL
5,PMC1074505,NULL,NULL
6,PMC1074749,NULL,NULL
7,PMC1142193,NULL,NULL
8,PMC1160239,NULL,NULL
9,PMC1160249,NULL,NULL
10,PMC1175928,NULL,NULL
11,PMC1175961,NULL,NULL
12,PMC1182165,NULL,NULL
13,PMC1193560,NULL,NULL
14,PMC1201327,NULL,NULL
15,PMC1241591,NULL,NULL
16,PMC1241623,NULL,NULL
17,PMC1241627,NULL,NULL
18,PMC1241811,NULL,NULL
19,PMC1247383,NULL,NULL
20,PMC1266063,NULL,NULL
21,PMC1269424,NULL,NULL
22,PMC1269432,NULL,NULL
23,PMC1269436,NULL,NULL
24,PMC1271393,NULL,NULL
25,PMC1278949,NULL,NULL
26,PMC1297606,NULL,NULL
27,PMC1326218,NULL,NULL
28,PMC1326252,NULL,NULL
29,PMC1383626,NULL,NULL
30,PMC140314,NULL,NULL
31,PMC1435713,NULL,NULL
32,PMC1474053,NULL,NULL
33,PMC1474450,NULL,NULL
34,PMC1475929,NULL,NULL
35,PMC1518840,NULL,NULL
36,PMC1519403,NULL,NULL
37,PMC1532946,NULL,NULL
38,PMC1538817,NULL,NULL
39,PMC1540717,NULL,NULL
40,PMC1550829,NULL,NULL
41,PMC1550845,NULL,NULL
42,PMC1550877,NULL,NULL
43,PMC1550926,NULL,NULL
44,PMC1550947,NULL,NULL
45,PMC1559924,NULL,NULL
46,PMC1559929,NULL,NULL
47,PMC156578,NULL,NULL
48,PMC1566363,NULL,NULL
49,PMC1568352,NULL,NULL
50,PMC1568898,NULL,NULL
51,PMC1592461,NULL,NULL
52,PMC1592527,NULL,NULL
53,PMC1592674,NULL,NULL
54,PMC1592688,NULL,NULL
55,PMC1602263,NULL,NULL
56,PMC1603565,NULL,NULL
57,PMC1615765,NULL,NULL
58,PMC1624813,Eivind Hermann,PERSON
59,PMC1624813,Eli Brundtland,ORG
60,PMC1635791,NULL,NULL
61,PMC1716885,NULL,NULL
62,PMC1769406,NULL,NULL
63,PMC1781541,NULL,NULL
64,PMC1820993,NULL,NULL
65,PMC1821001,NULL,NULL
66,PMC1824729,NULL,NULL
67,PMC1831551,NULL,NULL
68,PMC1831560,NULL,NULL
69,PMC1847501,NULL,NULL
70,PMC1850917,NULL,NULL
71,PMC1851930,NULL,NULL
72,PMC1852721,NULL,NULL
73,PMC1859983,NULL,NULL
74,PMC1867551,NULL,NULL
75,PMC1876255,NULL,NULL
76,PMC1876871,NULL,NULL
77,PMC1888488,NULL,NULL
78,PMC193621,NULL,NULL
79,PMC1940056,NULL,NULL
80,PMC1952212,NULL,NULL
81,PMC2071161,NULL,NULL
82,PMC212558,NULL,NULL
83,PMC2137947,NULL,NULL
84,PMC2151856,NULL,NULL
85,PMC2202333,NULL,NULL
86,PMC2206439,NULL,NULL
87,PMC2206465,NULL,NULL
88,PMC2206501,NULL,NULL
89,PMC222908,NULL,NULL
90,PMC222911,NULL,NULL
91,PMC222961,NULL,NULL
92,PMC2230613,NULL,NULL
93,PMC2254527,NULL,NULL
94,PMC2259152,NULL,NULL
95,PMC2259158,NULL,NULL
96,PMC2259160,NULL,NULL
97,PMC2259162,NULL,NULL
98,PMC2259163,NULL,NULL
99,PMC2267503,NULL,NULL
100,PMC2270306,NULL,NULL
101,PMC2274893,NULL,NULL
102,PMC2361307,NULL,NULL
103,PMC2363919,NULL,NULL
104,PMC2377020,NULL,NULL
105,PMC2435248,NULL,NULL
106,PMC2435592,NULL,NULL
107,PMC2441536,NULL,NULL
108,PMC2443186,NULL,NULL
109,PMC2481470,NULL,NULL
110,PMC2504633,NULL,NULL
111,PMC2516372,NULL,NULL
112,PMC2517140,NULL,NULL
113,PMC2519141,NULL,NULL
114,PMC2522268,NULL,NULL
115,PMC2528209,NULL,NULL
116,PMC2528880,NULL,NULL
117,PMC2532088,NULL,NULL
118,PMC2532878,NULL,NULL
119,PMC2535907,NULL,NULL
120,PMC2562712,NULL,NULL
121,PMC2564797,NULL,NULL
122,PMC2570804,NULL,NULL
123,PMC2570813,NULL,NULL
124,PMC2570815,NULL,NULL
125,PMC2570824,NULL,NULL
126,PMC2570843,NULL,NULL
127,PMC2570846,NULL,NULL
128,PMC2570902,NULL,NULL
129,PMC2570903,NULL,NULL
130,PMC2570906,NULL,NULL
131,PMC2570935,NULL,NULL
132,PMC2575555,NULL,NULL
133,PMC2575557,NULL,NULL
134,PMC2575602,NULL,NULL
135,PMC2584968,NULL,NULL
136,PMC2589215,NULL,NULL
137,PMC2589218,NULL,NULL
138,PMC2589374,NULL,NULL
139,PMC2589507,NULL,NULL
140,PMC2595130,NULL,NULL
