ID,PaperID,EntityName,EntityType
1,0036b28fddf7e93da0970303672934ea2f9944e7,CEVA Sante Animale,PERSON
2,0036b28fddf7e93da0970303672934ea2f9944e7,PetPlan Charitable Trust,ORG
3,0036b28fddf7e93da0970303672934ea2f9944e7,Marsha Wallace,PERSON
4,0036b28fddf7e93da0970303672934ea2f9944e7,UK Medical Research Council,ORG
5,0036b28fddf7e93da0970303672934ea2f9944e7,BSAVA PetSavers,ORG
6,0036b28fddf7e93da0970303672934ea2f9944e7,Australian Infectious Diseases Advisory Panel,ORG
7,0036b28fddf7e93da0970303672934ea2f9944e7,Zoetis,PERSON
8,0036b28fddf7e93da0970303672934ea2f9944e7,MSD,ORG
9,0036b28fddf7e93da0970303672934ea2f9944e7,a Royal School of Veterinary Studies Clinical Research Grant,ORG
10,0036b28fddf7e93da0970303672934ea2f9944e7,Biotechnology & Biosciences Research Council,ORG
11,0036b28fddf7e93da0970303672934ea2f9944e7,BBSRC,ORG
12,0036b28fddf7e93da0970303672934ea2f9944e7,Office of The Director,ORG
13,0036b28fddf7e93da0970303672934ea2f9944e7,NIAID,ORG
14,0036b28fddf7e93da0970303672934ea2f9944e7,GREYlong,ORG
15,0036b28fddf7e93da0970303672934ea2f9944e7,Angiosarcoma Awareness Foundation,ORG
16,0036b28fddf7e93da0970303672934ea2f9944e7,Animal Cancer Care & Research Program,ORG
17,0036b28fddf7e93da0970303672934ea2f9944e7,Marcus Vinicius,PERSON
18,0036b28fddf7e93da0970303672934ea2f9944e7,National Research Council / Ciencia Sem Fronteiras,ORG
19,0036b28fddf7e93da0970303672934ea2f9944e7,Finnish Veterinary Foundation,ORG
20,0036b28fddf7e93da0970303672934ea2f9944e7,Doctoral Program -Clinical Veterinary Sciences,ORG
21,0036b28fddf7e93da0970303672934ea2f9944e7,Grupo Fowler,ORG
22,0036b28fddf7e93da0970303672934ea2f9944e7,Syrjä,ORG
23,0036b28fddf7e93da0970303672934ea2f9944e7,University of Helsinki,ORG
24,0036b28fddf7e93da0970303672934ea2f9944e7,FEDER/FSE,ORG
25,0036b28fddf7e93da0970303672934ea2f9944e7,Junta de Extremadura,ORG
26,0036b28fddf7e93da0970303672934ea2f9944e7,Hill Pet Nutrition,ORG
27,0036b28fddf7e93da0970303672934ea2f9944e7,Affinity Petcare SA,ORG
28,004f0f69464edd5466a947da86d38cea9fe7e4fe,Larry Wahl,PERSON
